Formula,Name,Page number
C4H6[g],BUT-1-YNE (GAS),292
C4H8[g],CYCLOBUTANE (GAS),293
C4H8[I][g],2-METHYLPROP-1-ENE (GAS),293
C4H10[g],BUTANE (GAS),294
C5H8[g],CYCLOPENTENE (GAS),294
C5H8[P][g],"PENTA-1,2-DIENE (GAS)",295
C5H10[g],CYCLOPENTANE (GAS),295
C5H12[g],PENTANE (GAS),296
C6H6,BENZENE,296
C6H6[g],BENZENE (GAS),297
C6H10,CYCLOHEXENE,297
C6H10[g] ,CYCLOHEXENE (GAS),298
C6H12,CYCLOHEXANE,298
C6H12[g],CYCLOHEXANE (GAS),299
C6H12[M],METHYLCYCLOPENTANE,299
C6H12[M][g],METHYLCYCLOPENTANE (GAS),300
C6H14,HEXANE,300
C6H14[g],HEXANE (GAS),301
C7H8,TOLUENE (METHYLBENZENE),301
C7H8[g],TOLUENE (METHYLBENZENE) (GAS),302
C7H14,CYCLOHEPTANE,302
C7H14[g],CYCLOHEPTANE (GAS),303
C7H14[M],METHYLCYCLOHEXANE,303
C7H14[M][g],METHYLCYCLOHEXANE (GAS),304
C7H16,HEPTANE,304
C7H16[g],HEPTANE (GAS),305
C8H10,"O-XYLENE (1,2-DIMETHYLBENZENE)",305
C8H10[E],ETHYLBENZENE,306
C8H10[g],"O-XYLENE (1,2-DIMETHYLBENZENE) (GAS)",306
C8H10[E][g],ETHYLBENZENE (GAS),307
C8H14[g],OCT-1-YNE (GAS),307
C8H16,ETHYLCYCLOHEXANE,308
C8H16[g],ETHYLCYCLOHEXANE (GAS),308
C8H18,OCTANE,309
C8H18[g],OCTANE (GAS),309
C9H16[g],NON-1-YNE (GAS),310
C9H2O,NONANE,310
C9H2O[g],NONANE (GAS),311
C10H22,DECANE,311
C10H22[g],DECANE (GAS),312
CHBr3[g],TRIBROMOMETHANE (GAS),313
CH2Br2[g],DIBROMOMETHANE (GAS),314
CH3Br[g],BROMOMETHANE (GAS),315
CHBrI2[g],BROMODIIODOMETHANE (GAS),316
CHBr2I[g],DIBROMOIODOMETHANE (GAS),317
CH2BrI[g],BROMOIODOMETHANE (GAS),318
CHCl[g],CHLOROMETHYLENE (GAS),319
CHCl2[g],DICHLOROMETHYL (GAS),320
CHCl3[g],TRICHLOROMETHANE (GAS),321
CH2Cl[g],CHLOROMETHYL (GAS),322
CH2Cl2[g],DICHLOROMETHANE (GAS),323
CH3Cl[g],CHLOROMETHANE (GAS),323
C2HCl[g],CHLOROACETYLENE (GAS),324
C2HCl3[g],TRICHLOROETHYLENE (GAS),325
C2H2Cl2[g],DICHLOROETHYLENE (GAS),326
"C2H2Cl2[1,1][g]"," 1,1-DICHLOROETHYLENE (GAS)",327
C2H2Cl2I[cis][g],CIS-DICHLOROETHYLENE (GAS),328
C2H2Cl2[trans][g],TRANS-DICHLROROETHYLENE (GAS),329
